mapping_id,session_id,timestamp,audio_file,audio_duration,segment_index,start_time,end_time,duration,gesture_label,animation_clip,gesture_function,pedagogical_context,mouth_cue_count,dominant_mouth_cue,annotation_status,gold_gesture_label,suitability_score,naturalness_score,sync_score,engagement_support_score,annotator_name,notes
MAP-1778787042041-6YPQUC,ANN-1778787042034-9FHTZU,2026-05-14T19:30:42.041Z,generated.wav,7.536,0,0,1.884,1.884,Greeting,Greeting,Menyapa peserta didik,Pembuka pembelajaran,17,C,mapped,,,,,,,
MAP-1778787042041-114P60,ANN-1778787042034-9FHTZU,2026-05-14T19:30:42.041Z,generated.wav,7.536,1,1.884,3.768,1.884,Waving,Waving,Menyapa atau menutup pembelajaran,Pembuka/penutup,17,C,mapped,,,,,,,
MAP-1778787042041-NJX758,ANN-1778787042034-9FHTZU,2026-05-14T19:30:42.041Z,generated.wav,7.536,2,3.768,5.652,1.884,Talking_4,Talking_4,Memberikan penguatan penjelasan,Penguatan materi,11,B,mapped,,,,,,,
MAP-1778787042041-KL6IG0,ANN-1778787042034-9FHTZU,2026-05-14T19:30:42.041Z,generated.wav,7.536,3,5.652,7.536,1.884,normal,normal,Gesture bicara umum,Penjelasan umum,13,B,mapped,,,,,,,
"MAP-1778787552192-OQ60AU","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.192Z","generated.wav","41.16","0","0","2.94","2.94","Greeting","Greeting","Menyapa peserta didik","Pembuka pembelajaran","20","B","mapped","","","","","","",""
"MAP-1778787552192-9D990O","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.192Z","generated.wav","41.16","1","2.94","5.88","2.94","normal","normal","Gesture bicara umum","Penjelasan umum","19","B","mapped","","","","","","",""
"MAP-1778787552192-5Y7IVC","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.192Z","generated.wav","41.16","2","5.88","8.82","2.94","menjelaskan_normal","menjelaskan_normal","Gesture avatar","Konteks pembelajaran","17","B","mapped","","","","","","",""
"MAP-1778787552192-WBCC78","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.192Z","generated.wav","41.16","3","8.82","11.76","2.94","normal","normal","Gesture bicara umum","Penjelasan umum","20","B","mapped","","","","","","",""
"MAP-1778787552192-RSTSQV","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.192Z","generated.wav","41.16","4","11.76","14.7","2.94","Talking_0","Talking_0","Menjelaskan materi","Penjelasan konsep","20","B","mapped","","","","","","",""
"MAP-1778787552192-7GONRE","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.192Z","generated.wav","41.16","5","14.7","17.64","2.94","Talking_6","Talking_6","Menjelaskan dengan gestur aktif","Penjelasan aktif","17","C","mapped","","","","","","",""
"MAP-1778787552192-RJJM0C","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.192Z","generated.wav","41.16","6","17.64","20.58","2.94","Talking_4","Talking_4","Memberikan penguatan penjelasan","Penguatan materi","16","C","mapped","","","","","","",""
"MAP-1778787552192-ZZNDHS","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.192Z","generated.wav","41.16","7","20.58","23.52","2.94","Talking_7","Talking_7","Menjelaskan dengan variasi gerak","Variasi penjelasan","17","B","mapped","","","","","","",""
"MAP-1778787552193-LRW5KH","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.193Z","generated.wav","41.16","8","23.52","26.46","2.94","normal","normal","Gesture bicara umum","Penjelasan umum","11","B","mapped","","","","","","",""
"MAP-1778787552193-GLBQJH","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.193Z","generated.wav","41.16","9","26.46","29.4","2.94","Talking_6","Talking_6","Menjelaskan dengan gestur aktif","Penjelasan aktif","17","B","mapped","","","","","","",""
"MAP-1778787552193-38QNMX","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.193Z","generated.wav","41.16","10","29.4","32.34","2.94","terbuka","terbuka","Gesture avatar","Konteks pembelajaran","22","C","mapped","","","","","","",""
"MAP-1778787552193-XC0P7Q","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.193Z","generated.wav","41.16","11","32.34","35.28","2.94","Talking_7","Talking_7","Menjelaskan dengan variasi gerak","Variasi penjelasan","16","B","mapped","","","","","","",""
"MAP-1778787552193-Z1LGIH","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.193Z","generated.wav","41.16","12","35.28","38.22","2.94","terbuka","terbuka","Gesture avatar","Konteks pembelajaran","16","B","mapped","","","","","","",""
"MAP-1778787552193-VO1MML","ANN-1778787552188-UKEFED","2026-05-14T19:39:12.193Z","generated.wav","41.16","13","38.22","41.16","2.94","menjelaskan_normal","menjelaskan_normal","Gesture avatar","Konteks pembelajaran","20","C","mapped","","","","","","",""
